"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","relation.1"
"GSM301348","Circadian time 18 Liver_CT18","GSM301348","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301348/suppl/GSM301348.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301349","Circadian time 19 Liver_CT19","GSM301349","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301349/suppl/GSM301349.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301350","Circadian time 20 Liver_CT20","GSM301350","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301350/suppl/GSM301350.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301351","Circadian time 21 Liver_CT21","GSM301351","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301351/suppl/GSM301351.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301352","Circadian time 22 Liver_CT22","GSM301352","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301352/suppl/GSM301352.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301353","Circadian time 23 Liver_CT23","GSM301353","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301353/suppl/GSM301353.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301354","Circadian time 24 Liver_CT24","GSM301354","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301354/suppl/GSM301354.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301355","Circadian time 25 Liver_CT25","GSM301355","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301355/suppl/GSM301355.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301356","Circadian time 26 Liver_CT26","GSM301356","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301356/suppl/GSM301356.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301357","Circadian time 27 Liver_CT27","GSM301357","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301357/suppl/GSM301357.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
