gene_symbol_mouse,probe_id,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude
Bnip3,1422470_at,1.59984318802818e-25,3.60772638116295e-21,24,13.5,23298.3906226374
St3gal5,1449198_a_at,1.59984318802818e-25,3.60772638116295e-21,24,14,4072.26330819239
Ubxn1,1436342_a_at,1.38262322396599e-24,1.55894225060226e-20,24,4.5,6619.43871072163
Nampt,1417190_at,4.77425072940568e-24,4.30646964293851e-20,24,14.5,5183.02199541928
Elovl3,1420722_at,5.08800241909086e-23,3.27819995862024e-19,24,0.5,61242.3768972106
Desi2,1425185_at,5.08800241909086e-23,3.27819995862024e-19,24,21,1452.64481593058
Rorc,1425792_a_at,7.44544080188046e-23,4.19746032007013e-19,24,19,1333.14376991006
Clpx,1423447_at,1.57677126184404e-22,7.90155118671424e-19,24,0,22568.8685564873
Gys2,1424815_at,1.37695938214838e-21,5.64565864493399e-18,24,13.5,11562.963639353
Smagp,1425108_a_at,3.892524741423e-21,1.46297298635766e-17,24,2.5,1685.53043431437
Upp2,1460059_at,2.07015639106879e-20,7.18200949181488e-17,24,13.5,819.625147742857
Nrg4,1421681_at,2.86669940126494e-20,8.61940064643002e-17,24,13.5,593.156523398335
Nat8f5,1424811_at,2.86669940126494e-20,8.61940064643002e-17,24,19.5,7584.07378161631
Insig2,1417982_at,1.02553568374172e-19,2.72074616896679e-16,24,0.5,33238.9154302275
Cry1,1433733_a_at,1.02553568374172e-19,2.72074616896679e-16,24,20,4109.43944721327
Sco2,1432181_s_at,1.40102371425759e-19,3.51042058537398e-16,24,2,3078.21259520034
Jade1,1452179_at,2.59464150269803e-19,6.15899612700968e-16,24,8,905.202745935959
Hsd3b7,1416968_a_at,4.7570794693528e-19,1.0727452057364e-15,24,3.5,34625.3927291085
Nr1d2,1416958_at,8.63692299566545e-19,1.69362549577177e-15,24,10,25107.8591980243
Slc37a4,1417042_at,1.15961571948913e-18,2.01153186787227e-15,24,14.5,10950.5031008283
Inca1,1448034_at,1.15961571948913e-18,2.01153186787227e-15,24,5.5,1347.44500455956
Gm13363///Ptp4a1,1449322_at,1.15961571948913e-18,2.01153186787227e-15,24,14,10849.4221864577
Coq8a,1417067_s_at,1.55328889427945e-18,2.59462527484805e-15,24,0.5,2834.43753238628
Lgalsl,1424318_at,2.07580973465528e-18,3.12070316142293e-15,24,22.5,3226.12165615503
Akr1c19,1455454_at,2.07580973465528e-18,3.12070316142293e-15,24,14,16548.9326525251
Mad2l2,1460348_at,2.07580973465528e-18,3.12070316142293e-15,24,1,1343.50288425444
